,time,open,high,low,close,volume,tic,exchange,vwap
0,2023-03-26 21:41:00,1761.52,1763.2,1761.38,1763.1,37.87183578,ETHUSD,1762.2477279457,CBSE
0,2023-03-26 21:41:00,27818.27,27841.02,27818.27,27835.13,5.57872613,BTCUSD,27830.4005741188,CBSE
0,2023-03-26 21:42:00,1763.15,1763.15,1761.99,1762.73,23.64606272,ETHUSD,1762.4343879809,CBSE
0,2023-03-26 21:42:00,27833.82,27842.47,27830.0,27840.99,2.28500866,BTCUSD,27833.7416846661,CBSE
0,2023-03-26 21:43:00,27840.99,27843.05,27822.23,27824.12,5.08827598,BTCUSD,27835.8119213262,CBSE
0,2023-03-26 21:43:00,1762.77,1762.8,1761.81,1762.04,22.90773858,ETHUSD,1762.4244237797,CBSE
0,2023-03-26 21:44:00,1762.06,1762.1,1760.89,1760.91,83.76278068,ETHUSD,1761.5098072864,CBSE
0,2023-03-26 21:44:00,27824.12,27839.31,27802.03,27802.06,11.91392149,BTCUSD,27821.6316764617,CBSE
0,2023-03-26 21:46:00,27812.54,27813.97,27807.15,27808.62,0.84929505,BTCUSD,27810.4468790951,CBSE
0,2023-03-26 21:46:00,1761.61,1761.61,1761.02,1761.05,8.87239745,ETHUSD,1761.3704996046,CBSE
0,2023-03-26 21:47:00,1761.17,1761.62,1760.91,1761.4,27.31211798,ETHUSD,1761.3677716458,CBSE
0,2023-03-26 21:47:00,27808.63,27811.25,27807.12,27810.66,1.1073883,BTCUSD,27808.3960925331,CBSE
0,2023-03-26 21:48:00,1761.42,1762.1,1761.25,1762.1,11.34822184,ETHUSD,1761.5268989042,CBSE
0,2023-03-26 21:48:00,27810.66,27827.01,27808.16,27827.01,0.86116091,BTCUSD,27816.0303931809,CBSE
0,2023-03-26 21:49:00,1762.16,1762.78,1761.95,1762.69,17.29657226,ETHUSD,1762.3631280855,CBSE
0,2023-03-26 21:49:00,27827.01,27839.51,27827.01,27836.82,1.66199373,BTCUSD,27833.8464438152,CBSE
0,2023-03-26 21:50:00,27836.82,27846.09,27834.82,27844.99,0.75762861,BTCUSD,27842.4103661017,CBSE
0,2023-03-26 21:50:00,1762.71,1764.0,1762.71,1763.92,25.46113491,ETHUSD,1763.3832425251,CBSE
0,2023-03-26 21:51:00,27844.99,27847.94,27843.22,27845.71,1.33119428,BTCUSD,27845.6819127134,CBSE
0,2023-03-26 21:51:00,1763.81,1763.82,1763.43,1763.58,24.0966439,ETHUSD,1763.7252146689,CBSE
0,2023-03-26 21:52:00,27845.7,27847.95,27825.8,27830.79,2.88112336,BTCUSD,27836.023440251,CBSE
0,2023-03-26 21:52:00,1763.55,1763.55,1762.61,1762.62,25.14385859,ETHUSD,1762.9339745164,CBSE
0,2023-03-26 21:53:00,27830.8,27831.55,27821.24,27826.6,2.80876911,BTCUSD,27826.2285501977,CBSE
0,2023-03-26 21:53:00,1762.62,1762.62,1761.9,1762.12,13.73571067,ETHUSD,1762.2696920919,CBSE
0,2023-03-26 21:54:00,1762.12,1762.13,1761.73,1761.99,27.66422886,ETHUSD,1762.0684658018,CBSE
0,2023-03-26 21:54:00,27823.53,27826.95,27823.36,27825.71,2.80854753,BTCUSD,27824.8891961894,CBSE
0,2023-03-26 21:55:00,27825.71,27830.2,27824.04,27827.13,1.45540223,BTCUSD,27826.7210327513,CBSE
0,2023-03-26 21:55:00,1761.99,1762.33,1761.98,1762.3,13.8855979,ETHUSD,1762.0576972877,CBSE
0,2023-03-26 21:56:00,27827.76,27831.96,27825.87,27829.63,1.72412812,BTCUSD,27828.6663065317,CBSE
0,2023-03-26 21:56:00,1762.32,1762.48,1762.21,1762.41,15.12836545,ETHUSD,1762.3095195347,CBSE
0,2023-03-26 22:06:00,27896.78,27900.59,27871.88,27897.11,11.33449053,BTCUSD,27890.300754992,CBSE
0,2023-03-26 22:06:00,1767.41,1767.67,1766.29,1767.48,63.83178257,ETHUSD,1767.0302146448,CBSE
0,2023-03-26 22:07:00,1767.61,1767.62,1766.18,1766.64,33.86849685,ETHUSD,1766.5783927141,CBSE
0,2023-03-26 22:07:00,27898.79,27898.79,27875.78,27879.92,26.25289435,BTCUSD,27882.8134147979,CBSE
0,2023-03-26 22:08:00,27880.36,27896.62,27880.36,27894.48,2.36732144,BTCUSD,27888.2855130266,CBSE
0,2023-03-26 22:08:00,1766.46,1768.31,1766.37,1767.81,22.96421628,ETHUSD,1767.4715200752,CBSE
