数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方QQ:2023046319。
时间,价格,笔数,成交额,成交量,买卖盘,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
2017-05-26 09:25:01,7.01,27.0,560799.0,800.0,B,7.01,7.0,6.98,6.97,6.95,7.09,7.18,7.19,7.2,7.21,19,931,10,3,4,8,10,14,100,6
2017-05-26 09:30:02,7.02,4.0,12693.0,18.0,B,7.1,7.03,7.02,7.01,7.0,7.14,7.17,7.18,7.19,7.2,15,40,44,348,931,20,138,10,50,100
2017-05-26 09:30:05,7.15,8.0,103350.0,145.0,B,7.09,7.03,7.02,7.01,7.0,7.15,7.17,7.18,7.19,7.2,142,158,784,844,861,116,138,10,155,100
2017-05-26 09:30:11,7.1,1.0,7100.0,10.0,S,7.1,7.09,7.03,7.02,7.01,7.15,7.17,7.18,7.19,7.2,29,142,178,808,855,116,138,10,175,100
2017-05-26 09:30:17,7.15,1.0,1430.0,2.0,B,7.1,7.09,7.03,7.02,7.01,7.15,7.17,7.18,7.19,7.2,29,142,178,798,860,114,138,10,175,100
2017-05-26 09:30:35,7.1,4.0,44740.0,63.0,S,7.09,7.05,7.03,7.02,7.01,7.1,7.13,7.14,7.15,7.17,142,15,166,780,905,37,2,76,637,5
2017-05-26 09:30:41,7.1,1.0,7100.0,10.0,B,7.09,7.05,7.03,7.02,7.01,7.1,7.13,7.14,7.15,7.17,142,15,116,780,905,27,135,76,663,5
2017-05-26 09:30:44,7.1,1.0,19170.0,27.0,B,7.1,7.09,7.05,7.03,7.02,7.13,7.14,7.15,7.17,7.18,11,142,15,116,780,135,139,663,5,10
2017-05-26 09:30:59,7.1,1.0,710.0,1.0,S,7.1,7.09,7.05,7.03,7.02,7.11,7.12,7.13,7.14,7.15,124,142,10,116,780,30,105,2,103,144
2017-05-26 09:31:02,7.11,4.0,24854.0,35.0,B,7.1,7.09,7.05,7.03,7.02,7.11,7.12,7.14,7.15,7.17,123,142,10,106,780,25,105,103,144,5
2017-05-26 09:31:05,7.1,4.0,87331.0,123.0,S,7.09,7.05,7.03,7.02,7.01,7.1,7.11,7.12,7.14,7.15,142,10,106,780,895,400,25,105,103,144
2017-05-26 09:31:11,7.09,1.0,7089.0,10.0,S,7.09,7.05,7.03,7.02,7.01,7.1,7.11,7.12,7.14,7.15,122,10,136,780,895,402,25,105,103,144
2017-05-26 09:31:14,7.1,1.0,14200.0,20.0,B,7.09,7.05,7.03,7.02,7.01,7.1,7.11,7.12,7.13,7.14,122,10,136,780,888,382,25,105,11,103
2017-05-26 09:31:17,7.09,2.0,15601.0,22.0,S,7.09,7.05,7.03,7.02,7.01,7.1,7.11,7.12,7.13,7.14,102,10,136,780,888,378,25,56,11,103
2017-05-26 09:31:20,7.09,3.0,14180.0,20.0,S,7.09,7.05,7.03,7.02,7.01,7.1,7.11,7.12,7.13,7.14,82,10,136,780,888,396,25,56,11,103
2017-05-26 09:31:23,7.09,6.0,100674.0,142.0,S,7.05,7.03,7.02,7.01,7.0,7.09,7.1,7.11,7.12,7.13,10,136,780,888,739,19,389,25,56,11
2017-05-26 09:31:41,7.05,1.0,2115.0,3.0,S,7.05,7.04,7.03,7.02,7.01,7.09,7.1,7.11,7.12,7.13,17,132,136,780,879,67,371,25,56,11
2017-05-26 09:31:56,7.07,2.0,45955.0,65.0,B,7.07,7.06,7.05,7.04,7.03,7.09,7.1,7.11,7.12,7.13,35,21,118,132,166,64,23,25,56,11
2017-05-26 09:32:02,7.07,1.0,12726.0,18.0,S,7.07,7.05,7.04,7.03,7.02,7.09,7.1,7.11,7.12,7.13,47,118,152,166,780,35,23,25,56,11
2017-05-26 09:32:14,7.09,2.0,11345.0,16.0,B,7.09,7.07,7.05,7.04,7.03,7.1,7.11,7.12,7.13,7.14,4,149,121,152,166,23,25,30,11,63
2017-05-26 09:32:20,7.07,4.0,35358.0,50.0,S,7.07,7.06,7.05,7.04,7.03,7.1,7.11,7.12,7.13,7.14,112,100,121,152,166,23,25,30,11,63
2017-05-26 09:32:29,7.1,2.0,14200.0,20.0,B,7.07,7.06,7.05,7.04,7.03,7.1,7.11,7.12,7.13,7.14,153,100,124,152,166,5,25,30,11,63
2017-05-26 09:32:41,7.08,1.0,6372.0,9.0,S,7.08,7.07,7.06,7.05,7.04,7.09,7.1,7.11,7.12,7.13,3,158,100,124,92,19,373,25,30,11
2017-05-26 09:32:44,7.1,3.0,17021.0,24.0,B,7.1,7.08,7.07,7.06,7.05,7.11,7.12,7.13,7.14,7.15,4,3,158,100,124,25,30,11,63,50
2017-05-26 09:32:56,7.1,2.0,4260.0,6.0,S,7.08,7.07,7.06,7.05,7.04,7.09,7.11,7.12,7.13,7.14,3,158,100,124,113,362,75,30,11,63
2017-05-26 09:32:59,7.09,1.0,3545.0,5.0,B,7.08,7.07,7.06,7.05,7.04,7.09,7.11,7.12,7.13,7.15,3,158,100,124,113,357,75,30,11,50
2017-05-26 09:33:08,7.09,1.0,7090.0,10.0,B,7.08,7.07,7.06,7.05,7.04,7.09,7.11,7.12,7.13,7.15,3,158,100,88,92,347,75,30,67,50
2017-05-26 09:33:11,7.09,1.0,14179.0,20.0,B,7.08,7.07,7.06,7.05,7.04,7.09,7.11,7.12,7.13,7.15,63,158,100,88,92,327,75,30,67,50
2017-05-26 09:33:14,7.08,2.0,7080.0,10.0,S,7.08,7.07,7.06,7.05,7.04,7.09,7.11,7.12,7.13,7.15,53,158,100,88,72,327,75,30,67,50
