数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方QQ:2023046319。
时间,价格,笔数,成交额,成交量,买卖盘,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
2017-05-26 09:25:03,13.05,15.0,79605.0,61.0,S,13.01,13.0,12.9,12.85,12.84,13.05,13.06,13.09,13.14,13.16,35,10,5,30,11,10,10,22,10,46
2017-05-26 09:30:03,13.0,4.0,58535.0,45.0,S,12.9,12.85,12.84,12.82,12.81,12.98,12.99,13.0,13.05,13.06,5,30,11,10,6,46,201,2,10,10
2017-05-26 09:30:06,12.99,8.0,64904.0,50.0,B,12.95,12.94,12.9,12.86,12.85,12.99,13.0,13.01,13.04,13.05,21,20,64,42,40,197,2,1,5,15
2017-05-26 09:30:09,12.99,2.0,28578.0,22.0,B,12.95,12.94,12.92,12.9,12.86,12.97,12.99,13.0,13.01,13.04,21,25,25,64,52,41,175,2,9,5
2017-05-26 09:30:12,12.99,3.0,75334.0,58.0,B,12.95,12.94,12.92,12.9,12.86,12.99,13.0,13.01,13.04,13.05,19,25,25,314,52,119,52,9,5,24
2017-05-26 09:30:24,12.99,1.0,1299.0,1.0,B,12.95,12.94,12.92,12.9,12.86,12.99,13.0,13.01,13.04,13.05,19,25,25,314,52,118,52,9,5,24
2017-05-26 09:30:36,12.99,4.0,14257.0,11.0,B,12.95,12.94,12.92,12.9,12.86,12.99,13.0,13.01,13.04,13.05,24,25,25,314,52,115,52,9,5,24
2017-05-26 09:30:39,12.99,1.0,129900.0,100.0,B,12.96,12.95,12.94,12.92,12.9,12.97,12.99,13.0,13.01,13.04,10,24,25,33,314,5,15,52,9,5
2017-05-26 09:30:45,12.99,2.0,12980.0,10.0,B,12.96,12.95,12.94,12.92,12.91,12.99,13.0,13.01,13.04,13.05,10,24,34,42,15,10,52,9,5,24
2017-05-26 09:30:48,12.99,1.0,13640.0,11.0,B,12.99,12.96,12.95,12.94,12.92,13.0,13.01,13.04,13.05,13.06,65,10,39,34,42,52,9,5,24,10
2017-05-26 09:30:51,12.99,1.0,1299.0,1.0,S,12.99,12.96,12.95,12.94,12.92,13.0,13.01,13.04,13.05,13.06,74,10,49,34,42,52,9,5,24,10
2017-05-26 09:30:54,12.99,1.0,25980.0,20.0,S,12.99,12.97,12.96,12.95,12.94,13.0,13.01,13.04,13.05,13.06,54,1,10,49,34,52,9,5,24,10
2017-05-26 09:30:57,13.0,2.0,26000.0,20.0,B,12.99,12.97,12.96,12.95,12.94,13.0,13.01,13.04,13.05,13.06,54,3,10,49,34,32,9,5,24,10
2017-05-26 09:31:00,13.0,1.0,7800.0,6.0,B,12.99,12.97,12.96,12.95,12.94,13.0,13.01,13.04,13.05,13.06,64,3,10,49,34,26,9,5,24,10
2017-05-26 09:31:12,12.99,2.0,3899.0,3.0,S,12.99,12.98,12.97,12.96,12.95,13.0,13.01,13.04,13.05,13.06,25,3,3,29,49,39,9,5,24,10
2017-05-26 09:31:15,13.04,5.0,44213.0,34.0,B,13.0,12.99,12.98,12.97,12.96,13.04,13.05,13.06,13.08,13.09,2,25,3,3,29,4,24,10,20,22
2017-05-26 09:31:24,13.0,2.0,9100.0,7.0,S,13.0,12.99,12.98,12.97,12.96,13.04,13.05,13.06,13.08,13.09,44,25,13,3,29,4,28,10,20,22
2017-05-26 09:31:36,13.04,1.0,3912.0,3.0,B,13.03,13.0,12.99,12.98,12.97,13.04,13.05,13.06,13.08,13.09,10,16,25,13,3,1,28,10,20,22
2017-05-26 09:31:39,13.05,2.0,9134.0,7.0,B,13.03,13.01,13.0,12.99,12.98,13.04,13.05,13.06,13.08,13.09,10,50,15,25,13,8,22,10,20,22
